bart_param,predictor,r,p,n,abs_r
alpha_plus,CCTncards,-0.008999432318864652,0.9291894703316386,100,0.008999432318864652
omega_0,PRI,0.00896553099552617,0.9294555304842923,100,0.00896553099552617
alpha_plus,H_dfe,-0.008755143517055725,0.9311068398139225,100,0.008755143517055725
loss_aversion,Dgam_r,0.00851271052832828,0.9330100327271154,100,0.00851271052832828
rho_0,WMC,-0.008088169512222571,0.9366703313300997,99,0.008088169512222571
beta,CAREwork,0.007743732001849251,0.9390492563118037,100,0.007743732001849251
alpha_minus,birthrank,-0.007536380332313006,0.9412887647544852,98,0.007536380332313006
alpha_minus,sibl_o,-0.00753638033231299,0.9412887647544852,98,0.00753638033231299
beta,DAST,0.007163227822803981,0.9436105902326868,100,0.007163227822803981
omega_0,rt_decision,0.006791326716646453,0.9465337839111705,100,0.006791326716646453
loss_aversion,OSrtLet,-0.006564788095881755,0.9485801178919847,99,0.006564788095881755
rho_0,Dgam_r,0.00591154279215332,0.9534517581747463,100,0.00591154279215332
alpha_plus,OSpcOp,-0.005529228716616817,0.9566827377153573,99,0.005529228716616817
rho_0,MTr.1,0.005288669524836781,0.9585656276938668,99,0.005288669524836781
alpha_minus,Dinv_r,-0.005287462557529604,0.9583611913056682,100,0.005287462557529604
beta,Drec_b,-0.005112261635672821,0.9597397266358799,100,0.005112261635672821
omega_0,R_dfe,0.005105822014720967,0.9597903978592582,100,0.005105822014720967
alpha_plus,SStas,-0.005064576640575729,0.9601149476972045,100,0.005064576640575729
rho_0,samples,-0.0050521166433427946,0.9602129936736146,100,0.0050521166433427946
rho_0,CAREsex,-0.004617936384538806,0.9636298572168517,100,0.004617936384538806
beta,rt_sample,-0.004528037967236769,0.9643374140231304,100,0.004528037967236769
rho_0,Dgam_b,-0.004276319968485949,0.9663187375657649,100,0.004276319968485949
alpha_plus,OSrtLet,-0.004245059006712566,0.9667366134646838,99,0.004245059006712566
rho_0,birthrank,-0.004147346410727965,0.9676705723706706,98,0.004147346410727965
rho_0,sibl_o,-0.004147346410727951,0.9676705723706706,98,0.004147346410727951
beta,H_dfe,0.004055845806550406,0.9680543031387844,100,0.004055845806550406
rho_0,Dsoc,0.003595688452656397,0.9716771177243242,100,0.003595688452656397
beta,dif.amb.fx.bound,-0.003532847160177512,0.9723149275177443,99,0.003532847160177512
alpha_plus,SOEPdri,-0.003500053314797945,0.9724301269494863,100,0.003500053314797945
loss_aversion,PRI,0.0034933823659297936,0.9724826533871807,100,0.0034933823659297936
loss_aversion,CCTaratio,-0.003492526973161891,0.9724893886796487,100,0.003492526973161891
loss_aversion,Deth,-0.00316997653618462,0.975029257827687,100,0.00316997653618462
beta,BIS1ins,-0.0030901497669588228,0.9756578797601735,100,0.0030901497669588228
alpha_plus,SSTM,0.003046215227481456,0.9761271970842756,99,0.003046215227481456
loss_aversion,Dgam,0.003030716455192148,0.9761259164489259,100,0.003030716455192148
rho_0,PG,0.0024680002087086824,0.9805576797102883,100,0.0024680002087086824
loss_aversion,SOEPrec,-0.002188558942057415,0.9827586927994857,100,0.002188558942057415
loss_aversion,Drec_b,0.0021518107551875927,0.9830481490678666,100,0.0021518107551875927
beta,Dm,0.0019695220097147464,0.9844840236337453,100,0.0019695220097147464
loss_aversion,SSpcLet,0.0015662471272203438,0.9877241929979753,99,0.0015662471272203438
omega_0,R_sh1,0.0009641545627526763,0.992403991782955,100,0.0009641545627526763
alpha_plus,CCTratio,-0.0003958219671086064,0.9968815123494291,100,0.0003958219671086064
rho_0,rt_decision_dfe,-0.00030036722509616816,0.9976335510509974,100,0.00030036722509616816
omega_0,samples,0.0002070288109946008,0.9983689183023382,100,0.0002070288109946008
