rt_mean,rt_sd,rt_cv,rt_median,rt_first_mean,rt_first_sd,rt_late_mean,rt_trend_mean,rt_trend_sd,rt_skew,partid,rt_post_explosion,rt_post_success,rt_explosion_effect
255.4364640883978,216.5722739193345,0.8478518315395497,198.0,204.79310344827587,14.408760051811461,537.255172413793,5.249902360298018,2.9294182412200143,6.900052977792538,64066601,201.25,206.8,-5.550000000000011
302.7360703812317,211.15745293642647,0.6974968416235257,232.0,232.86206896551724,55.03774512843735,444.22758620689655,4.459827177085316,4.14530425944458,6.441105842432295,64067701,234.8,217.94444444444446,16.855555555555554
235.03785211267606,145.91440481325446,0.6208123649092222,197.0,227.51724137931035,200.25477232931522,389.6413793103448,5.591304963579601,6.650409534732413,5.884817733614963,64068201,184.1,254.77777777777777,-70.67777777777778
412.21581769436995,360.04351511906333,0.8734344963589222,252.5,371.51724137931035,226.64366999987163,596.8758620689655,12.880746579904786,13.351729455416244,3.385175091618364,64069001,441.75,335.875,105.875
340.05125628140706,493.84318751523307,1.452261029456561,208.0,216.82758620689654,94.93048962104243,839.2896551724137,20.062763214915325,28.392043611602073,6.36334520825027,64069401,197.25,201.1,-3.8499999999999943
211.6244204018547,201.44582779637096,0.9519025612159714,176.0,176.17241379310346,32.169882001131214,284.6275862068965,0.6344827487499178,2.0430077615006557,11.87607120638528,64069501,173.76923076923077,175.33333333333334,-1.5641025641025692
197.8153846153846,100.42093404307113,0.5076497676776811,177.0,156.06896551724137,18.241542271614176,298.53793103448277,3.774226020672391,3.1138402390527395,4.997274905987864,64069601,152.88888888888889,153.68421052631578,-0.7953216374268948
491.65579710144925,852.9787766176328,1.734910442725091,204.0,235.6206896551724,173.26209243624652,1013.7793103448275,75.23656258062363,109.61123643703874,4.65384053042992,64070201,192.5,209.16666666666666,-16.666666666666657
528.117048346056,352.93805948280965,0.6682951451541518,430.0,365.6896551724138,94.20451100124953,856.7586206896551,17.969425888045134,11.55007709575628,4.011824697463082,64070601,342.4,363.7826086956522,-21.38260869565221
257.1293031066331,123.20664546710026,0.47916221130193676,233.0,226.48275862068965,85.27142088634514,372.53793103448277,6.817594652452806,17.714735024221117,6.3467973468141405,64071401,268.25,209.15,59.099999999999994
